period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2002-03-03;0;759001.455768327;734070.799431095;1316017.23413116;1.79276608625636;0.05;23.8681079742824;0.833666833186912;0;768984.977389469;768984.977389469;1511578.22709293;1.96567978769156;0.0163611402630175;14.8118910599343;0.658490411801822;0;871079.346956136;871079.346956136;1498746.15390017;1.72056214986307;0.0266168962258782;16.4386001102846;0.715613664262775
2002-03-10;0;614757.776237756;652674.006333994;1290251.9665699;1.97687046526813;0.05;28.4811652599618;0.838942156690228;0;791685.901076886;791685.901076886;1259738.58008121;1.5912100725397;0.0120425744483961;14.2247819034855;0.610438804438225;0;841919.903081635;841919.903081635;1705867.55845926;2.02616371487995;0.0260020637777973;16.3372824452565;0.704495021933112
2002-03-17;0;541904.660619908;544877.294577654;1019057.3031065;1.87025099641267;0.05;25.976642381669;0.847918144880905;0;788815.076380059;788815.076380059;1369729.89758507;1.73643980522137;0.0107291803444345;14.0591437998646;0.604072475254294;0;899825.581389954;899825.581389954;1842453.34020013;2.04756719335997;0.0266712478194979;16.4606740235365;0.700031119270879
2002-03-24;0;757090.49030742;775708.836112694;1636269.02565773;2.10938557030955;0.05;25.9174142990536;0.708837942510161;0;658039.248690239;658039.248690239;1283173.79376937;1.94999583432659;0.0128437607804256;14.3420253565531;0.597494581317449;0;858684.729155488;858684.729155488;1656722.35225726;1.92937209199777;0.0250085284966489;16.1786892620753;0.7317836144447
2002-03-31;0;766184.836542033;768801.08982234;1571377.58879509;2.04393257189349;0.05;26.164894271056;0.752459721085457;0;767845.658518992;767845.658518992;1605519.98850775;2.09094102531549;0.0132709825502552;14.4049000924913;0.601044065781491;0;815273.795392399;815273.795392399;1572676.23802819;1.92901605192798;0.022839810363078;15.8235676471868;0.731415692009402
2002-04-07;0;1093914.3046408;1079785.20697912;2051483.04105162;1.8998991908687;0.05;27.368496108742;0.990125217701616;0;761115.704730545;761115.704730545;1597166.91055328;2.09845480867948;0.0126431569925884;14.3253949215416;0.58445292566883;0;884597.383115464;884597.383115464;1732352.93169869;1.95835186126995;0.021574041178394;15.6252394391053;0.739877952573311
2002-04-14;0;1018668.02838105;1023904.6015114;1631219.36297753;1.59313607983563;0.05;26.9319408377111;0.972387506870849;0;715262.556710488;715262.556710488;1556790.75690997;2.17653048143565;0.011746161277579;14.2120826854872;0.609611525675772;0;877879.674863042;877879.674863042;1751177.8190624;1.99478114051975;0.0195351874714677;15.3139439394017;0.722162218549544
2002-04-21;0;1021363.18695295;1005176.60154966;2103631.43954452;2.09279785890499;0.05;26.9406434388919;0.963555542349393;0;839477.51210604;839477.51210604;1525244.01552198;1.81689681203672;0.0110289285015941;14.1238937923107;0.650447395115821;0;981177.403755768;981177.403755768;1768756.43171006;1.80268769433497;0.0179537180078914;15.0823313719239;0.719558332277414
2002-04-28;0;1030102.13775614;1006789.72905289;1921844.66893495;1.9088838647002;0.05;28.1312699798958;0.934482635317529;0;830324.809834962;830324.809834962;1716079.84717548;2.06675728202867;0.00925489911469329;13.902910027647;0.665731407355502;0;923801.044993864;923801.044993864;1773221.21352649;1.91948387927865;0.0166256506992845;14.8942090956451;0.725044645406931
2002-05-05;0;1011091.64547186;913077.306720279;1878733.45506547;2.05758421684334;0.05;26.004494902843;0.938809357687823;0;799591.017741385;799591.017741385;1853065.13583261;2.31751619855234;0.00766833714589697;13.7118510369589;0.657032198329889;0;949562.314024505;949562.314024505;1537427.3889907;1.61909057076482;0.0151381108281226;14.6886065085544;0.747034216306673
