period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-08-26;0;601063.581660421;581080.3302565;1427000.65597071;2.45577174388402;0.0135624360302716;14.3779778486743;0.660407387630272;0;361526.595878322;361526.595878322;1153950.86602964;3.19188374848644;0.0327641632735322;17.4193061072572;0.53647399658722;0;623544.288736831;623544.288736831;1310823.85510721;2.10221451592903;0.0383179971058181;18.6037032592071;0.663582533273334
2001-09-02;0;571297.881051508;631776.367012157;1161515.37402099;1.83849133121917;0.0115257418280257;14.075936668095;0.640653752768153;0;330451.134325578;330451.134325578;915732.699131002;2.77115919423285;0.0299591750084091;16.8831313677586;0.536972195367183;0;579574.085712931;579574.085712931;1220876.05228003;2.10650559156425;0.0366993661849632;18.2492138075422;0.650893929938392
2001-09-09;0;667909.810577562;580396.993333643;1040136.22712595;1.79211167368681;0.00596338451779386;13.4200281897384;0.615831410061181;0;264357.049146403;264357.049146403;770081.948654479;2.9130373150292;0.0280204489065115;16.5330268697931;0.535431530349791;0;607225.96343617;607225.96343617;1307256.29075447;2.15283332642262;0.0359965728536462;18.102837483651;0.638053618639609
2001-09-16;0;636701.525798868;604908.015090209;1329046.5117114;2.19710514418164;0;12.6983867309187;0.591048253414267;0;304280.4609077;304280.4609077;860873.188756686;2.8292095594591;0.0241734760592927;15.8753929546144;0.521187765619696;0;646759.864169353;646759.864169353;1274366.36890243;1.97038567094624;0.0340741613955245;17.7046130446989;0.648990712827327
2001-09-23;0;492214.510987257;576860.518420631;1329790.10890938;2.30521948797982;0;12.1973296953273;0.568767488927417;0;334904.99879451;334904.99879451;1022483.14026287;3.05305428089548;0.0220179747367153;15.5321045087347;0.515314959765136;0;625666.089184371;625666.089184371;1535506.60403819;2.45419502604002;0.0329602919829485;17.4847445038382;0.671050384856618
2001-09-30;0;558239.119893602;500234.317410927;1116979.02392732;2.23291162771176;0;11.9599507679924;0.573461215411878;0;363454.113233367;363454.113233367;851718.129673768;2.34339934165746;0.0207483036735128;15.3392883552547;0.518827257951663;0;640806.173739879;640806.173739879;1513908.65637068;2.36250635279494;0.0323054347299365;17.3608294312382;0.675328892328957
2001-10-07;0;555017.121799327;550362.043191825;1242230.30309088;2.25711478191077;0;11.740479893019;0.584518707035132;0;456958.411772584;456958.411772584;856308.19640373;1.87393026223553;0.018598724536029;15.0201981631082;0.578263343210779;0;666403.900752651;666403.900752651;1456928.33597489;2.18625421359239;0.0301141663256713;16.9444637625445;0.765708962424139
2001-10-14;0;500394.901122476;574593.675540419;1247953.0230536;2.17188785080148;0;11.5660812747885;0.573917207653021;0;569201.087384936;569201.087384936;1156739.6549713;2.03221617211884;0.0153926786591614;14.5654296971207;0.680906851596701;0;717145.875574003;717145.875574003;1434647.26877455;2.00049573962376;0.0263694986216877;16.2730153354388;0.878354448690953
2001-10-21;0;589815.053274461;546189.84133369;1280706.64769004;2.34480129575974;0;11.4014546803002;0.574069810038408;0;633086.104009522;633086.104009522;1324843.46204877;2.0926749989585;0.011313878725468;14.0241817469716;0.752768076899535;0;680194.660770596;680194.660770596;1595528.34830631;2.3456937261147;0.0223390986821021;15.6074119484713;0.887398454936249
2001-10-28;0;618651.354729516;613855.204348653;1475365.33639992;2.40344192889168;0;11.0451838791684;0.565807926562001;0;668917.836611955;668917.836611955;1438021.35924915;2.1497727830561;0.00652354224069865;13.4373004019486;0.821085988910831;0;691855.665034857;691855.665034857;1521410.27140732;2.19902842210689;0.0176021222662098;14.8911020931989;0.858865614621244
2001-11-04;0;501012.78642241;603500.029940666;1345613.78220033;2.22968304132914;0;10.8072258504315;0.565114124813723;0;728083.423139646;728083.423139646;1335303.89722934;1.8339984880733;0.000608640175373026;12.776092044483;0.860442636334786;0;724829.490661723;724829.490661723;1483943.89440273;2.04730065970134;0.0123211381265649;14.1657793915793;0.843009571484407
