period;M0_EUR;M1_EUR;M2_EUR;moneyCirculation_EUR;moneyVelocity_EUR;keyInterestRate_EUR;priceIndex_EUR;creditUtilizationRate_EUR;M0_USD;M1_USD;M2_USD;moneyCirculation_USD;moneyVelocity_USD;keyInterestRate_USD;priceIndex_USD;creditUtilizationRate_USD;M0_YEN;M1_YEN;M2_YEN;moneyCirculation_YEN;moneyVelocity_YEN;keyInterestRate_YEN;priceIndex_YEN;creditUtilizationRate_YEN
2001-04-22;0;455319.756891195;491774.182926464;1167436.05814074;2.37392709636266;0.0111755415071844;13.9092693361581;0.576568907838725;0;415613.168797047;415613.168797047;1206654.54365436;2.90331162303376;0.05;31.5979541325151;0.868226576258057;0;500036.61732068;500036.61732068;1240317.94708854;2.48045423900048;0.05;35.4293192244736;0.850295463786142
2001-04-29;0;466332.237117522;480382.267221578;1151475.22744644;2.39699777867803;0.0100779541044097;13.7520537421134;0.562482392101759;0;421518.251973795;421518.251973795;1152966.85048271;2.73527147420982;0.05;32.3240796531774;0.853203016997798;0;530947.503515133;530947.503515133;1483648.99881244;2.79434216940461;0.05;34.1758238004683;0.833144117968836
2001-05-06;0;463906.942233758;504328.696351513;1148983.20514362;2.27824276797208;0.00888736363173332;13.6173773995269;0.550625440840466;0;426198.55849046;426198.55849046;1296055.65793141;3.04096677971382;0.05;31.9124052622224;0.831540289629816;0;458865.484596124;458865.484596124;1309090.91589585;2.85288599783891;0.05;35.3794604764709;0.803813394243508
2001-05-13;0;487690.971955061;465849.30506845;899241.356816265;1.93032671087517;0.00772095183945342;13.4838507416974;0.547574758397858;0;379073.903459316;379073.903459316;1123471.82401851;2.96372768941898;0.05;31.3475482974156;0.815069301336231;0;474593.008666891;474593.008666891;1054349.34539863;2.22158634060001;0.05;35.2769258300714;0.771042796260309
2001-05-20;0;455503.620431672;450148.184802693;978750.607208338;2.17428535813677;0.00658112961596803;13.3473440641988;0.539795867769467;0;406110.380744695;406110.380744695;1318439.13852758;3.24650440136479;0.05;31.6801450582362;0.798565723410877;0;443213.707666906;443213.707666906;1427505.37991562;3.22080602477317;0.05;35.2260199049444;0.753719828909451
2001-05-27;0;467057.293100537;508115.101675134;1192941.36070339;2.34777781012718;0.00557729819344853;13.2325533200617;0.531324989187212;0;409072.398963239;409072.398963239;1106238.97724067;2.70426208183282;0.05;32.1284013598658;0.77486945726225;0;468122.897541172;468122.897541172;1185354.50995418;2.53214383697162;0.05;35.3372516701769;0.729699884857983
2001-06-03;0;440543.541632478;455002.644427408;1167210.24556244;2.56528233375721;0.00461864380253223;13.1226981657277;0.52728963469759;0;379910.055318483;379910.055318483;1310964.82868975;3.45072421836994;0.05;32.5334102907755;0.750767149620495;0;446275.434970252;446275.434970252;1300607.3770605;2.91436022497451;0.05;35.125824432784;0.713152668253435
2001-06-10;0;447366.537669467;421548.72459923;930870.946989842;2.2082167319444;0.00383197057844274;13.0356715275127;0.509791848498257;0;407737.963387703;407737.963387703;1235229.05609052;3.02946786173056;0.05;32.5546899101117;0.732753094929369;0;460992.752041508;460992.752041508;1366602.4801626;2.96447715091093;0.05;35.070242787587;0.705211149177653
2001-06-17;0;469918.586076941;430243.738786415;945296.492258423;2.19711853314777;0.00340298441732515;12.9862519584749;0.509257913457817;0;419399.616104732;419399.616104732;1165513.16003386;2.77900387906603;0.05;32.3489738648416;0.727497707742256;0;420451.441075465;420451.441075465;1033221.07983308;2.45740882036277;0.05;35.1143682280061;0.685035838804027
2001-06-24;0;442638.878445659;426883.240206158;1124321.1221694;2.633790733097;0.00316226300143679;12.9718634973061;0.503983511914274;0;373559.361494988;373559.361494988;1049688.59214992;2.8099646277075;0.05;32.0943947042458;0.679533471264162;0;420707.587675213;420707.587675213;1087726.14162382;2.58546832405491;0.05;35.1082467273644;0.663158950232274
2001-07-01;0;375659.025467996;369716.356193035;982578.622874037;2.6576552711696;0.00287055641333404;12.9371368427228;0.497655898591667;0;401281.963280986;401281.963280986;1319385.14283806;3.28792535814575;0.05;31.8949143305246;0.677821392890808;0;386427.939394072;386427.939394072;1344569.29136853;3.47948260024067;0.05;35.1025639270129;0.667471354751182
2001-07-08;0;397415.62818681;402015.390720992;1029836.88539957;2.56168522193296;0.00275204446788253;12.9217586926269;0.500141730488935;0;446290.559452135;446290.559452135;1385044.25745154;3.10345856105901;0.05;31.9231815694694;0.666867102973471;0;389924.706894709;389924.706894709;1221063.34209297;3.13153621840816;0.05;35.0971429856882;0.634768334403726
2001-07-15;0;434832.463625963;391222.312365366;836169.545778054;2.13732581028545;0.00284323752186376;12.9417703768536;0.493589145897562;0;430145.845453782;430145.845453782;951727.465842614;2.21256923878595;0.05;32.02921157793;0.64397487049586;0;368585.956146004;368585.956146004;994266.380113005;2.69751563654031;0.05;35.0927815104524;0.589054919700113
2001-07-22;0;400992.801766084;443944.684993654;1012100.15111755;2.27978886858847;0.00293256567341408;12.9544709892149;0.5009380553045;0;407692.446338321;407692.446338321;1097177.89697876;2.69119015285426;0.05;32.0969329024658;0.63870665042212;0;436425.703403924;436425.703403924;1177430.22992488;2.69789387000227;0.05;35.100053112978;0.600263667594412
2001-07-29;0;402629.951767351;370586.358067059;936573.618798476;2.52727494795964;0.00296902710024103;12.9657740771088;0.492536001787573;0;375925.15136629;375925.15136629;1063468.52388663;2.82893687751798;0.05;32.1216311311144;0.627769117761904;0;421392.759029927;421392.759029927;1037831.90139739;2.46286125985304;0.05;35.1566305238189;0.591939705868368
2001-08-05;0;357347.561947848;323587.975532999;713179.063768667;2.20397269890499;0.00276730452475006;12.9480148816984;0.426972506907126;0;341806.505499072;341806.505499072;836839.269031883;2.44828362119677;0.05;32.195727236358;0.605422155543769;0;408475.28964262;408475.28964262;1013267.95686611;2.48061016800459;0.05;35.2381504104814;0.558236140216446
2001-08-12;0;371441.66837619;400981.731892327;950721.08110394;2.37098352739728;0.00292841713480231;12.9644112115945;0.482403678843404;0;389817.477712;389817.477712;1148711.46298828;2.94679312413221;0.05;32.2124307052445;0.594478212004683;0;444778.535185968;444778.535185968;1259695.00509233;2.83218479634057;0.05;35.3152135162979;0.590326786451751
2001-08-19;0;414914.347142623;393089.059498599;820507.44133017;2.08733217448677;0.00318429571037062;13.0003855336992;0.503783840323354;0;346292.672128783;346292.672128783;762772.335397247;2.20268113300872;0.05;32.2603979281278;0.556985136493362;0;420266.148756473;420266.148756473;1006877.02834325;2.39580806430044;0.05;35.3688777190197;0.539634580536166
